build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Stormcaller,Orc,Horde,414.05927065442575,12.915194883970473,0.18264843765602654,5000,1.7477,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,414.2596005548166,12.943831944766165,0.18305342685366424,5000,1.7406,7.1,7.1,16,16,linear-v1,71,379.42857142857144,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,411.5740348661464,12.941609658084277,0.18302199897401417,5000,1.6459481818287816,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,412.8570590706582,12.87927875389207,0.1821405068733782,5000,1.8006885157728105,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,414.3921851590831,12.954264501581696,0.18320096548705175,5000,1.7588,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,598.3296884302872,25.300642725845023,0.3578051207964622,5000,0.3323299999999997,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05033315-055030030005102151
Enhancement,Tauren,Horde,596.6372847509217,25.218006116748118,0.35663646266312854,5000,0.32325,8.1,8.1,16,16,linear-v1,81,323,3.552713678800501e-15,05033315-055030030005102151
Enhancement,Troll,Horde,596.1073461762076,25.04395045049539,0.35417494382490367,5000,0.29183,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05033315-055030030005102151
Enhancement,Windshaper,Horde,598.7118565949012,25.35391945330922,0.35855856750184945,5000,0.20247000000000004,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05033315-055030030005102151
Enhancement,Dwarf,Alliance,600.6437491902103,25.184451974595753,0.3561619354340719,5000,0.24077999999999983,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05033315-055030030005102151
Beast Mastery,Orc,Horde,751.5518029861485,17.15110767583895,0.24255329084892735,5000,1.9627695769601983,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,Tauren,Horde,749.5019321688425,17.16719117591589,0.24278074588831972,5000,2.2139881482097956,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5320001505101251-00505510004
Beast Mastery,Troll,Horde,751.9649555705528,17.099195117118782,0.24181913640293184,5000,1.9568624979346008,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,Windshaper,Horde,752.2066415956067,16.63818192392426,0.23529942530044565,5000,1.7248539063592006,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,Human,Alliance,748.9383867878677,16.683464242765762,0.2359398139948592,5000,1.4618700754904028,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,Dwarf,Alliance,747.2218641820484,16.757612485389444,0.2369884284983046,5000,1.9779014136365982,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,Night Elf,Alliance,757.2365170849567,17.18751132670417,0.24306811621666222,5000,1.816741486521399,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Beast Mastery,High Order,Alliance,752.2066415956067,16.63818192392426,0.23529942530044565,5000,1.7248539063592006,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00505510004
Marksmanship,Orc,Horde,702.6598117895746,17.293425857487804,0.24456597387552823,5000,0.034045468998600004,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000501-005355140050205
Marksmanship,Tauren,Horde,700.474581425644,17.27655751276317,0.2443274194566846,5000,0.03566864830120001,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5023000501-005355140050205
Marksmanship,Troll,Horde,702.5336351893808,17.252754946994106,0.24399080034338572,5000,0.07242976754560002,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000501-005355140050205
Marksmanship,Windshaper,Horde,702.83954775218,16.875539296907522,0.23865616546046742,5000,0.0252,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000501-005355140050205
