build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Beast Mastery,High Order,Alliance,878.7104786536303,20.94217316154457,0.29616705310622166,5000,0.00453,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Marksmanship,Human,Alliance,927.9939868802579,28.778348227844198,0.40698730366512986,5000,0.43992000000000026,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,Dwarf,Alliance,905.7006802970594,28.506199635568816,0.40313854136336397,5000,0.6283051370784006,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,Night Elf,Alliance,922.2912844372202,29.189584920104018,0.41280306874052275,5000,0.6223100000000007,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Marksmanship,High Order,Alliance,916.7549182693909,28.753498718048103,0.4066358785274103,5000,0.6299269784251998,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5-0050552011523051-50005001
Survival,Human,Alliance,857.9806976830585,32.17320173496956,0.4549977823855954,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,Dwarf,Alliance,836.9119703581144,31.35578354803439,0.443437743524654,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Night Elf,Alliance,850.3276828530563,31.91911231452694,0.45140441534114073,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,High Order,Alliance,838.9724187278757,30.438233782860202,0.4304616303040381,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Arcane,Human,Alliance,691.8334106083548,34.933358438947614,0.49403229283600325,5000,0.04065,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Gnome,Alliance,699.3711004019618,34.79150622389882,0.4920261995722566,5000,0.0236,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,High Order,Alliance,696.0429699639119,35.85460320955483,0.5070606613245834,5000,0.07973910927759995,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Fire,Human,Alliance,685.5935118847719,31.216648813413656,0.4414700812376757,5000,2.1341900000000016,3.0999999999999996,3.0999999999999996,13,13,linear-v1,30.999999999999996,489.57142857142856,-8.881784197001252e-16,0501252000002-23450000130133051-003
Fire,Gnome,Alliance,687.7829216774679,31.07313807474388,0.439440532907946,5000,1.6288900000000008,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
